title,price,published_date,year,link,vin
New Listing2019 Cadillac XT4 AWD 4dr Sport,"ILS 115,495.19",Nov-10 13:13,2019,https://www.ebay.com/itm/185652746477?hash=item2b39c418ed:g:h~IAAOSwdHdjbWlj&amdata=enc%3AAQAHAAAAoMt%2FyH4idhSbU16uPMF%2FgB6xe3yHdanNIShjHDzYRlGCM0Wz3F5XXKC%2FEliJVS0CGWq7xdA8tt3Ut4f7%2FgX3pISk8a5fmu7hpT99GY9NY8sVoEu%2Bp%2Bd6C62cN4EPgQ9v%2BNMHH1PTbLMl9XUE7uVnPgdZ7WwLEVgI%2FtPauFSddazx5V6uJRWCPTiZLyGEOMz20bYhzHpXfzlNQD5Vh6J5iQg%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYFZFR44KF195023
New Listing2019 Cadillac Escalade Luxury,"ILS 213,218.34",Nov-10 10:34,2019,https://www.ebay.com/itm/234774494989?hash=item36a9a67f0d:g:LKYAAOSwoDpjPN12&amdata=enc%3AAQAHAAAAoOiNWGCpsglVsWDbFGPU6Ab84KR2d1uQZc%2F5T4wfPhhAgZWyIx%2Bb92snegQC6qmsdnKEuZRUR4qFBdpzHRcYSHnAJy6Gqx91frWPmsooNkTaLXgt7UlITLhQbap1fKrdknyxvIQ3gXey0vcZTbKuTjW5GbKcO%2FcVfHzpa7EAugL7Y6soEiRvZxeNeigYsShoAi37lqYOMfcn%2FwUJ3a9Ryeo%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYS4BKJ9KR404339
New Listing1988 Cadillac Brougham ,"ILS 55,082.32",Nov-10 10:17,1988,https://www.ebay.com/itm/165771208567?hash=item2698bbe777:g:iLIAAOSwSgxjarCV&amdata=enc%3AAQAHAAAAoKSo%2BRauKb6sZPyf2VS%2F3yQ1JRemSdG%2FXcTaJsYh8N37kc0I%2BCkRKogzfFppzgkvDyU%2BCZr2HXieaGo%2BIonaiFXrRGexqb27Ic9fXzF%2FeRSb0XKQz8tsWd4rfbmqKfjA%2Flv9cf9%2FsJgl0p5VZ1A%2FB%2BCH9E3oLxL4283MEQyV76o3d8kfJROvo3%2BglYF70ijQEPMCLdahqQWNChux4VsPylY%3D%7Ctkp%3ABk9SR5yWntWMYQ,1G6DW51Y9JR763152
New Listing2023 Cadillac Escalade Luxury,"ILS 355,192.13",Nov-10 10:17,2023,https://www.ebay.com/itm/115599401093?hash=item1aea42e085:g:B4MAAOSwH8ljbUBB&amdata=enc%3AAQAHAAAAoCV8KOlsVo11OyN1DUJyNTcI1lzG9X43N0zY5UKO2NRNYh5BhNau6QwZbT0pGK%2FutUI%2FATLokSz1v3JDFTI61S7UZOEqdmLV15EycpuBP68dJ4fyN5qHH1GSlKJk0x92miGrwCvhqcZVbhvTYZnHJ5YXP3yo%2FgRtp626xY6WolZGbvXu6GkjbO3Wtm5shN8OvjDI%2FueTyz7vBkqm7dDYFeA%3D%7Ctkp%3ABk9SR56WntWMYQ,1GYS4AKL0PR189730
New Listing1984 Cadillac Eldorado ,ILS 355.37,Nov-10 10:03,1984,https://www.ebay.com/itm/165771186295?hash=item2698bb9077:g:xyoAAOSwCDBjarCq&amdata=enc%3AAQAHAAAAkIP5Yhd10wulLy%2BhIMbhvPyv5rK%2BZQb2UnFj5REtGR5uV9IeuDkySssgiqpXZk2iVuXlfXWAcz0WddwrI55W2I4Hr6G4Xyl62EIKULsRkacnL3pOw6Jye6%2BgUUjMCKw%2B0flPXEuaYOZf3g%2F7w8s6TvX%2BIzsAsd9yXu05SP6RvSXkHDHVS5TrvNcFkuZKWCDFoQ%3D%3D%7Ctkp%3ABk9SR56WntWMYQ,1G6AL6789EE642420
New Listing1962 Cadillac Fleetwood ,ILS 355.37,Nov-10 10:03,1962,https://www.ebay.com/itm/165771186297?hash=item2698bb9079:g:PjsAAOSwDcBjarCr&amdata=enc%3AAQAHAAAAkDH3as4dcE1Ho7jd9Q35XVEQ1UulYiDoZ5xcAVNhl7Gb4bgkfiDzE%2B3h99ZLbbE9xZX530ViYckUMf%2BojHrSDVmCRlXzjtj70qb8y69SVlG5dFddD0Og2K066vDufZRkYABvYJGIPXE4AmdoczY5DwJyaFO2SCQMFDEARtnUpqEOBzOrTG6WxPWGfluXz99Z2g%3D%3D%7Ctkp%3ABk9SR56WntWMYQ,00000000000000000
New Listing2003 Cadillac DeVille ,"ILS 1,776.85",Nov-10 09:40,2003,https://www.ebay.com/itm/325419118008?hash=item4bc47dadb8:g:qSkAAOSwwAliC26g&amdata=enc%3AAQAHAAAAoHWcRUPCj7SKFrT%2F%2BHRvOBdS205AIMgYzQQIGDuJtlBfgbzyT0b%2BA5alZnIhEq0qHXiYcqxN0TdJuoojQGundB3ip0IhW4IrE9StM%2Bx2rGIDfIEEMt80eMEUT%2BZmyGJPXiFu%2BGvIIV9jOj8N5A7cCdv6O%2BXK%2FbX1uTlTY8s6pP07xqiJORllfBDnOrpI%2F9dN85W%2FbJ5RAu13ofn0gwHZr4E%3D%7Ctkp%3ABk9SR56WntWMYQ,1G6KD54Y93U257507
New Listing2021 CADILLAC Escalade Premium Luxury,"ILS 284,260.32",Nov-10 09:16,2021,https://www.ebay.com/itm/155249629349?hash=item24259958a5:g:REAAAOSwIGdjbTHi&amdata=enc%3AAQAHAAAAoPCSC1dDMz05Ep22OaDyaRsPa82BCbfgNNKyXaGsN2hD%2FSHH2BPs2qrS0YT7TAjhzuB%2BVdv9Au%2Fe5g%2BVbEOcGI5DuouvNqw0WwrSg2DSQSAvZ2T2ItyJpV3eW4Qxfil6vjl6TzL4za1d3JhkFOBeFIWpSdYKIbbvWtG8j9%2F2rxYG%2BBnnn12YF%2FPvbHulCDQpFXwlS1if%2FtM9w12eDmtujKg%3D%7Ctkp%3ABk9SR56WntWMYQ,1GYS4CKL2MR351381
New Listing2019 Cadillac Escalade Platinum Edition,"ILS 227,081.31",Nov-10 09:16,2019,https://www.ebay.com/itm/155249628898?hash=item24259956e2:g:0TkAAOSwau5jQhk9&amdata=enc%3AAQAHAAAAoLFvaod7%2BEns1c%2BSIpVkp4anr6r6tirCaAklNH8To2muLciqqX2pqcwr43N8qrCWMQVTRDujzkBC4woTIhvEERej9I95yhVU6v5e7RXqY%2Bli1ZN%2B%2BIgkwcRg5Bds6pXPu%2FLvoegFgZSs0nwr94qf8NeVq2znZawmCyeYkvxTHqc02Xzq1YmiIUbE3YefYvwepa%2BGP6i9pAr96HrMORrV0t8%3D%7Ctkp%3ABk9SR56WntWMYQ,1GYS4DKJ1KR248308
New Listing2023 CADILLAC Escalade Sport,"ILS 434,670.59",Nov-10 09:11,2023,https://www.ebay.com/itm/155249622907?hash=item2425993f7b:g:L-UAAOSw0BpjbTC6&amdata=enc%3AAQAHAAAAoHHgouHYcGYQp%2BjCwZRluMPtSLl4R1WoxUzncZyikgoev5WAGwQnyUB6c3bYVOkRCAlRSzu8lBdARS3a5%2FjRZCRDQNPIORSlIgfeJ0VDE1YU8tlBFjV6N0Xw%2FSmocOAg68IWJLW3%2BTcVBppXEOrTSpfLoIEBt40AxE5y9Dz%2FdgNrtDfVMHgZ3DPko1qsLdm3LGyXFMj9lEXGA72h%2FkWwUcA%3D%7Ctkp%3ABk9SR56WntWMYQ,1GYS4PKL5PR202314
